小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
绿地城际空间站晶骊,南康赣南大道339省道,3室2厅2卫,97㎡,东南,中层(共18层),2020年建造,6485元/㎡,62.9万,高铁新区绿地城际空间站价值洼地配套逐渐完善3房2厅2卫
红星中央广场,南康广场天街赣南大道,3室2厅2卫,115㎡,南北,中层(共42层),2019年建造,7392元/㎡,85万,红星中央广场难得东边套115平房东外地人诚意出售
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,89㎡,南,中层(共26层),2021年建造,8259元/㎡,73.5万,东山新区珑玺湾南康北  旁三房两厅已装修急79.8万
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,99㎡,南,中层(共24层),2019年建造,7980元/㎡,79万,珑玺湾北  三房两厅两卫拎包入住 采光好 小区安静
美的爱康公园天下,南康工业大道赣南大道,3室2厅1卫,89㎡,东,高层(共33层),2022年建造,7529元/㎡,67万,爱琴海家具小镇旁美的爱康3房2厅1卫  即装修
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,130㎡,南北,中层(共11层),2019年建造,8462元/㎡,110万,美的洋房 家具小镇旁 户型方正新小区 改善型住宅   即装修
龙祥城南花园,南康天马山大道天马山大道,4室2厅2卫,89㎡,南,高层(共33层),2018年建造,10787元/㎡,96万,七小 九中城南花园大复式精装4房2厅急售
龙湖佳兴紫云台,南康南山大道天马山大道,4室2厅2卫,141㎡,南,中层(共11层),2019年建造,8227元/㎡,116万,龙湖佳兴紫云台 11层电梯洋房 南北通透双阳台 免过户
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,3室2厅2卫,117㎡,南北,低层(共31层),2019年建造,8035元/㎡,94万,急售！碧桂园精装修3房2厅2卫 南北通透 小区中间安静
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,3室2厅2卫,117㎡,南北,中层(共33层),2018年建造,8548元/㎡,100万,七小九中碧桂园精装修三房家具家电齐全拎包入住
佳兴文峰花园,南康迎宾中大道文峰路,4室2厅2卫,129.76㎡,南北,高层(共31层),2020年建造,8747元/㎡,113.5万,品质小区 精装修南北通透双阳台4房2厅 六小旁 房东诚意出售
社保局家属房,南康广场天街宝林路,3室2厅2卫,116㎡,南,高层(共7层),2020年建造,3707元/㎡,43万,接官亭旁 电梯三房 户型方正 采光好 价格实惠
城市家园小区(南康),南康天马山大道文化路45号,3室2厅2卫,112.52㎡,南,低层(共7层),2010年建造,5671元/㎡,63.8万,一小康中 文化广场旁 南北通透带一个柴间 精装三房
宝辉幸福城,南康南水大道南山大道,4室2厅2卫,135㎡,南北,中层(共33层),2013年建造,8430元/㎡,113.8万,四小八中 南北通风大四房 视野开阔 精装大四房 低于市场价
亚琦时代新城,"南康赣南大道赣南大道,近向阳大道",4室2厅2卫,128㎡,南,高层(共33层),2023年建造,5704元/㎡,73万,四中附近时代新城精装修四房  即入住
红星中央广场,南康广场天街赣南大道,3室2厅2卫,115㎡,南北,低层(共33层),2019年建造,8522元/㎡,98万,红星中央广场一梯一户三房二厅两卫拎包入住 十二中十二小
美的爱康公园天下,南康工业大道赣南大道,3室2厅2卫,89㎡,南,高层(共33层),2020年建造,7529元/㎡,67万,美的公园 毛坯3房2厅 视线很好 小区环境好
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,5室2厅3卫,204㎡,南北,高层(共31层),2018年建造,8324元/㎡,169.8万,业主急售 碧桂园 五房两厅三卫 南北通透 双主卧 视野无遮挡
翡翠公馆,南康迎宾中大道工业一路,4室2厅2卫,135㎡,南,中层(共26层),2018年建造,6815元/㎡,92万,六小六中旁边花园新小区南北通透双阳台大四房飘窗可拆
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,6室2厅3卫,273㎡,南北,高层(共17层),2018年建造,7693元/㎡,210万,碧桂园 大平层6房2厅3卫 中西厨房 享受生活从这里开始
书香华庭,"南康蓝田大道南水大道,近坪岭路",4室2厅2卫,90㎡,南,高层(共28层),2019年建造,8867元/㎡,79.8万,一小康中附近书香华庭精装修四房视野好采光好
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,144㎡,南北,低层(共17层),2020年建造,8334元/㎡,120万,捡漏 七小九中 全屋品牌定制家具 瓷砖上墙 9成新
